State,Abrv,Year,Value
Washington,WA,1988,9.7
Alaska,AL,1989,10.3
Arizona,AZ,1989,4.5
California,CA,1989,7.7
Idaho,ID,1989,10.6
Maine,ME,1989,6.1
Michigan,MI,1989,5.5
Minnesota,MN,1989,7.0
Montana,MT,1989,7.9
New Mexico,NM,1989,6.3
New York,NY,1989,3.7
North Dakota,ND,1989,10.1
Texas,TX,1989,6.9
Vermont,VT,1989,8.4
Washington,WA,1989,9.1
Alaska,AL,1990,6.8
Arizona,AZ,1990,4.0
California,CA,1990,7.0
Idaho,ID,1990,6.5
Maine,ME,1990,2.6
Michigan,MI,1990,1.3
Minnesota,MN,1990,4.5
Montana,MT,1990,4.8
New Mexico,NM,1990,6.7
New York,NY,1990,4.2
North Dakota,ND,1990,7.3
Texas,TX,1990,8.3
Vermont,VT,1990,5.0
Washington,WA,1990,9.8
Alaska,AL,1991,-11.0
Arizona,AZ,1991,3.9
California,CA,1991,2.1
Idaho,ID,1991,4.7
Maine,ME,1991,0.5
Michigan,MI,1991,2.4
Minnesota,MN,1991,3.3
Montana,MT,1991,4.8
New Mexico,NM,1991,13.9
New York,NY,1991,0.8
North Dakota,ND,1991,1.6
Texas,TX,1991,3.9
Vermont,VT,1991,0.5
Washington,WA,1991,6.1
Alaska,AL,1992,2.1
Arizona,AZ,1992,12.7
California,CA,1992,2.2
Idaho,ID,1992,9.4
Maine,ME,1992,4.1
Michigan,MI,1992,7.3
Minnesota,MN,1992,7.9
Montana,MT,1992,7.7
New Mexico,NM,1992,7.7
New York,NY,1992,4.5
North Dakota,ND,1992,10.3
Texas,TX,1992,5.8
Vermont,VT,1992,6.9
Washington,WA,1992,6.8
Alaska,AL,1993,2.3
Arizona,AZ,1993,8.0
California,CA,1993,2.4
Idaho,ID,1993,12.0
Maine,ME,1993,3.6
Michigan,MI,1993,6.7
Minnesota,MN,1993,3.0
Montana,MT,1993,7.5
New Mexico,NM,1993,13.0
New York,NY,1993,3.4
North Dakota,ND,1993,1.2
Texas,TX,1993,6.6
Vermont,VT,1993,3.9
Washington,WA,1993,6.0
Alaska,AL,1994,1.4
Arizona,AZ,1994,12.4
California,CA,1994,4.2
Idaho,ID,1994,10.2
Maine,ME,1994,5.3
Michigan,MI,1994,11.1
Minnesota,MN,1994,8.7
Montana,MT,1994,6.3
New Mexico,NM,1994,13.0
New York,NY,1994,3.3
North Dakota,ND,1994,9.6
Texas,TX,1994,7.3
Vermont,VT,1994,5.1
Washington,WA,1994,5.8
Alaska,AL,1995,7.8
Arizona,AZ,1995,9.5
California,CA,1995,5.8
Idaho,ID,1995,9.1
Maine,ME,1995,6.1
Michigan,MI,1995,2.0
Minnesota,MN,1995,5.4
