State,Year,Population,LaborForce,Employed,Unemployed,Abrv
Vermont,1998,463498.0,333732.0,322398.0,11334.0,VT
Washington,1998,4348345.0,3050487.0,2904286.0,146201.0,WA
Alaska,1999,432679.0,317943.0,297354.0,20589.0,AL
Arizona,1999,3767577.0,2473013.0,2363084.0,109929.0,AZ
California,1999,24710730.0,16416600.0,15555278.0,861322.0,CA
Idaho,1999,933848.0,651207.0,619237.0,31970.0,ID
Maine,1999,984264.0,668497.0,642085.0,26412.0,ME
Michigan,1999,7471040.0,5115757.0,4925999.0,189758.0,MI
Minnesota,1999,3678689.0,2756145.0,2680029.0,76116.0,MN
Montana,1999,680888.0,464373.0,439993.0,24380.0,MT
New Mexico,1999,1330634.0,836237.0,789677.0,46560.0,NM
New York,1999,14473178.0,9126567.0,8654586.0,471981.0,NY
North Dakota,1999,485659.0,343452.0,332180.0,11272.0,ND
Ohio,1999,8596747.0,5754992.0,5508439.0,246553.0,OH
Texas,1999,14925355.0,10245857.0,9767851.0,478006.0,TX
Vermont,1999,468457.0,336946.0,326979.0,9967.0,VT
Washington,1999,4409013.0,3085544.0,2935202.0,150342.0,WA
Alaska,2000,436112.0,319511.0,299146.0,20365.0,AL
Arizona,2000,3849206.0,2509883.0,2410581.0,99302.0,AZ
California,2000,25116226.0,16867808.0,16033179.0,834629.0,CA
Idaho,2000,951079.0,659824.0,628844.0,30980.0,ID
Maine,2000,994236.0,678164.0,655349.0,22815.0,ME
Michigan,2000,7516639.0,5162774.0,4976322.0,186452.0,MI
Minnesota,2000,3730567.0,2812947.0,2724118.0,88829.0,MN
Montana,2000,686936.0,467293.0,444137.0,23156.0,MT
New Mexico,2000,1342045.0,845755.0,804103.0,41652.0,NM
New York,2000,14547332.0,9133869.0,8718749.0,415120.0,NY
North Dakota,2000,485026.0,342568.0,332407.0,10161.0,ND
Ohio,2000,8623110.0,5787343.0,5556757.0,230586.0,OH
Texas,2000,15200557.0,10374053.0,9929387.0,444666.0,TX
Vermont,2000,473915.0,331404.0,322129.0,9275.0,VT
Washington,2000,4465692.0,3059339.0,2901492.0,157847.0,WA
Alaska,2001,443270.0,321393.0,300731.0,20662.0,AL
Arizona,2001,3953194.0,2585284.0,2461498.0,123786.0,AZ
California,2001,25526368.0,17128430.0,16197671.0,930759.0,CA
Idaho,2001,969340.0,677665.0,643280.0,34385.0,ID
Maine,2001,1004670.0,674319.0,648545.0,25774.0,ME
Michigan,2001,7573057.0,5119956.0,4854630.0,265326.0,MI
Minnesota,2001,3780198.0,2845203.0,2737961.0,107242.0,MN
Montana,2001,693174.0,466063.0,444909.0,21154.0,MT
New Mexico,2001,1353307.0,857949.0,815642.0,42307.0,NM
New York,2001,14642218.0,9151745.0,8709897.0,441848.0,NY
North Dakota,2001,484467.0,341816.0,331820.0,9996.0,ND
Ohio,2001,8667199.0,5816832.0,5567130.0,249702.0,OH
Texas,2001,15494857.0,10532732.0,10011046.0,521686.0,TX
Vermont,2001,478732.0,337065.0,325889.0,11176.0,VT
Washington,2001,4534286.0,3039367.0,2847875.0,191492.0,WA
Alaska,2002,452064.0,326401.0,302580.0,23821.0,AL
Arizona,2002,4064603.0,2679421.0,2516006.0,163415.0,AZ
California,2002,25882406.0,17257097.0,16108685.0,1148412.0,CA
Idaho,2002,988250.0,684591.0,646549.0,38042.0,ID
Maine,2002,1015879.0,675232.0,645935.0,29297.0,ME
Michigan,2002,7621515.0,5017141.0,4702399.0,314742.0,MI
Minnesota,2002,3823098.0,2859602.0,2731080.0,128522.0,MN
Montana,2002,700096.0,467203.0,446640.0,20563.0,MT
New Mexico,2002,1372721.0,874496.0,826086.0,48410.0,NM
New York,2002,14735313.0,9275515.0,8705352.0,570163.0,NY
North Dakota,2002,484701.0,340631.0,327957.0,12674.0,ND
Ohio,2002,8709513.0,5852985.0,5516645.0,336340.0,OH
Texas,2002,15780780.0,10748810.0,10065870.0,682940.0,TX
Vermont,2002,483460.0,343139.0,329427.0,13712.0,VT
Washington,2002,4601381.0,3082839.0,2854762.0,228077.0,WA
Alaska,2003,459947.0,331669.0,305723.0,25946.0,AL
Arizona,2003,4174320.0,2736000.0,2578854.0,157146.0,AZ
California,2003,26210571.0,17277618.0,16102840.0,1174778.0,CA
Idaho,2003,1006838.0,690005.0,651335.0,38670.0,ID
Maine,2003,1026711.0,683535.0,649571.0,33964.0,ME
Michigan,2003,7667604.0,5027859.0,4667103.0,360756.0,MI
Minnesota,2003,3859916.0,2874663.0,2734287.0,140376.0,MN
Montana,2003,708358.0,471489.0,449266.0,22223.0,MT
New Mexico,2003,1392399.0,889730.0,837667.0,52063.0,NM
New York,2003,14828504.0,9263401.0,8672909.0,590492.0,NY
North Dakota,2003,485632.0,344676.0,331852.0,12824.0,ND
Ohio,2003,8751391.0,5872372.0,5505858.0,366514.0,OH
Texas,2003,16050108.0,10914664.0,10185312.0,729352.0,TX
Vermont,2003,487922.0,345971.0,331122.0,14849.0,VT
Washington,2003,4660988.0,3127404.0,2895863.0,231541.0,WA
Alaska,2004,470999.0,336743.0,311643.0,25100.0,AL
Arizona,2004,4304036.0,2796269.0,2655428.0,140841.0,AZ
California,2004,26503320.0,17383631.0,16303996.0,1079635.0,CA
Idaho,2004,1028370.0,703062.0,668441.0,34621.0,ID
Maine,2004,1035627.0,686000.0,654161.0,31839.0,ME
Michigan,2004,7706420.0,5062376.0,4705591.0,356785.0,MI
Minnesota,2004,3893414.0,2880428.0,2745615.0,134813.0,MN
Montana,2004,718057.0,480281.0,457423.0,22858.0,MT
New Mexico,2004,1413287.0,902265.0,852612.0,49653.0,NM
